2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
1	AMD Ryzen Threadripper PRO 3995WX	2.7 GHz	64	sTRX4	88673	 
2	AMD Ryzen Threadripper 3990X	2.9 GHz	64	sTRX4	80748	 
3	AMD EPYC 7702	2.0 GHz	64	SP3	71362	 
4	AMD EPYC 7742	2.3 GHz	64	SP3	67185	 
5	AMD Ryzen Threadripper PRO 3975WX	3.5 GHz	32	sTRX4	65123	 
6	AMD EPYC 7702P	2.0 GHz	64	SP3	64395	 
7	AMD Ryzen Threadripper 3970X	3.7 GHz	32	sTRX4	63703	 
8	AMD Ryzen Threadripper 3960X	3.8 GHz	24	sTRX4	55672	 
9	AMD EPYC 7452	2.4 GHz	32	SP3	53478	 
10	AMD EPYC 7502P	2.5 GHz	32	SP3	48021	 
11	AMD Ryzen Threadripper PRO 3955WX	3.9 GHz	16	sTRX4	42152	 
12	AMD Ryzen 9 3950X	3.5 GHz	16	AM4	39261	 
13	AMD EPYC 7402P	2.8 GHz	24	SP3	39118	 
14	AMD EPYC 7302P	3.0 GHz	16	SP3	38988	 
15	Intel Xeon Gold 6248R	3.0 GHz	24	LGA3647	38521	 
16	Intel Xeon Platinum 8280	2.7 GHz	28	LGA3647	37575	 
17	Intel Xeon W-3275M	2.5 GHz	28	LGA3647	37104	 
18	AMD Ryzen Threadripper PRO 3945WX	4.0 GHz	12	sTRX4	34884	 
19	Intel Core i9-10980XE	3.0 GHz	18	LGA2066	34101	 
20	Intel Xeon Platinum 8168	2.7 GHz	24	LGA3647	33398	 
21	AMD Ryzen 9 3900XT	3.8 GHz	12	AM4	33247	 
22	AMD Ryzen 9 3900X	3.8 GHz	12	AM4	32854	 
23	AMD Ryzen Threadripper 2990WX	3.0 GHz	32	sTR4	32072	 
24	AMD Ryzen 9 PRO 3900	3.1 GHz	12	AM4	31989	 
25	Intel Core i9-9990XE	4.0 GHz	14	LGA2066	31941	 
26	Intel Xeon W-3175X	3.1 GHz	28	LGA3647	31814	 
27	Intel Xeon W-2295	3.0 GHz	18	LGA2066	31724	 
